Regiones,Fecha,Mes,Year,Fec,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,cat_Variedad,tipo_de_datos
El Paraiso,2/20/2018,Febrero,2018,2,14.1307478,-86.78272247,1172,LEMPIRA,Madurez Fisiologica,691,46,6.66,Medianamente_resistentes,a realizar
Comayagua,2/19/2018,Febrero,2018,2,14.53271961,-88.21944427,1195,LEMPIRA,Madurez Fisiologica,663,95,14.33,Medianamente_resistentes,a realizar
El Paraiso,8/16/2017,Agosto,2017,8,14.06000042,-86.73000336,1144,LEMPIRA,Floracion Principal,797,32,4.02,Medianamente_resistentes,a realizar
Comayagua,6/20/2017,Junio,2017,6,14.26000023,-87.94000244,1146,LEMPIRA,Fruto Consistente,781,0,0,Medianamente_resistentes,a realizar
Cortes,2/21/2018,Febrero,2018,2,15.05220509,-88.10197449,1357,LEMPIRA,Madurez Fisiologica,801,28,3.5,Medianamente_resistentes,a realizar
Olancho,6/22/2017,Junio,2017,6,14.58001423,-86.69535828,1188,LEMPIRA,Fruto Consistente,936,7,0.75,Medianamente_resistentes,a realizar
Comayagua,6/21/2017,Junio,2017,6,14.34000015,-87.29000092,1172,LEMPIRA,Fruto Consistente,927,1,0.11,Medianamente_resistentes,a realizar
Santa Barbara,2/20/2018,Febrero,2018,2,14.57349968,-88.52400208,1481,LEMPIRA,Madurez Fisiologica,477,17,3.56,Medianamente_resistentes,a realizar
Cortes,2/21/2018,Febrero,2018,2,15.05212212,-88.11689758,1247,LEMPIRA,Madurez Fisiologica,825,8,0.97,Medianamente_resistentes,a realizar
Copan,6/21/2017,Junio,2017,6,14.41866779,-89.00537872,1286,LEMPIRA,Fruto Consistente,1149,0,0,Medianamente_resistentes,a realizar
Comayagua,2/21/2018,Febrero,2018,2,14.17924213,-88.23921204,1499,LEMPIRA,Hojas Nuevas Mayor al 30%,796,2,0.25,Medianamente_resistentes,a realizar
El Paraiso,2/20/2018,Febrero,2018,2,14.02694988,-85.985672,1120,LEMPIRA,Floracion Loca,757,38,5.02,Medianamente_resistentes,a realizar
Olancho,2/23/2018,Febrero,2018,2,14.40967464,-86.65523529,1129,LEMPIRA,Madurez Fisiologica,829,54,6.51,Medianamente_resistentes,a realizar
Olancho,6/22/2017,Junio,2017,6,14.57487488,-86.72502899,1377,LEMPIRA,Fruto Consistente,1438,0,0,Medianamente_resistentes,a realizar
Santa Barbara,2/20/2018,Febrero,2018,2,14.76819992,-88.40409851,1177,LEMPIRA,Madurez Fisiologica,598,0,0,Medianamente_resistentes,a realizar
Olancho,9/21/2017,Septiembre,2017,9,14.98880005,-86.37689972,1200,LEMPIRA,Fruto Consistente,856,0,0,Medianamente_resistentes,a realizar
Olancho,2/22/2018,Febrero,2018,2,14.98880005,-86.37689972,1200,LEMPIRA,Madurez Fisiologica,936,5,0.53,Medianamente_resistentes,a realizar
Santa Barbara,2/21/2018,Febrero,2018,2,15.06705284,-88.37181091,1170,LEMPIRA,Hojas Nuevas Mayor al 30%,706,8,1.13,Medianamente_resistentes,a realizar
Francisco Morazan,2/20/2018,Febrero,2018,2,14.49351692,-87.42076874,1409,LEMPIRA,Madurez Fisiologica,1015,10,0.99,Medianamente_resistentes,a realizar
Santa Barbara,6/19/2017,Junio,2017,6,15,-88.69999695,1178,LEMPIRA,Fruto Consistente,1918,16,0.83,Medianamente_resistentes,a realizar
Olancho,6/14/2017,Junio,2017,6,14.40967464,-86.65523529,1129,LEMPIRA,Formacion de Fruto,1163,5,0.43,Medianamente_resistentes,a realizar
Santa Barbara,6/22/2017,Junio,2017,6,14.80000019,-88.45999908,1390,LEMPIRA,Formacion de Fruto,1031,0,0,Medianamente_resistentes,a realizar
Copan,2/19/2018,Febrero,2018,2,14.51000023,-88.47000122,1101,LEMPIRA,Madurez Fisiologica,1080,9,0.83,Medianamente_resistentes,a realizar
Olancho,2/21/2018,Febrero,2018,2,14.58001423,-86.69535828,1188,LEMPIRA,Hojas Nuevas Mayor al 30%,800,32,4,Medianamente_resistentes,a realizar
Copan,2/19/2018,Febrero,2018,2,14.43050003,-88.45580292,1350,LEMPIRA,Madurez Fisiologica,633,0,0,Medianamente_resistentes,a realizar
Comayagua,2/21/2018,Febrero,2018,2,14.57288647,-87.98477173,1220,LEMPIRA,Madurez Fisiologica,1266,44,3.48,Medianamente_resistentes,a realizar
Comayagua,2/22/2018,Febrero,2018,2,14.39999962,-88,1374,LEMPIRA,Hojas Nuevas Mayor al 30%,1167,0,0,Medianamente_resistentes,a realizar
El Paraiso,2/19/2018,Febrero,2018,2,14.08707619,-86.10620117,1212,LEMPIRA,Floracion Loca,790,25,3.16,Medianamente_resistentes,a realizar
Francisco Morazan,2/21/2018,Febrero,2018,2,14.45103836,-87.3734436,1385,LEMPIRA,Madurez Fisiologica,917,61,6.65,Medianamente_resistentes,a realizar
Comayagua,2/22/2018,Febrero,2018,2,14.26396942,-87.93857574,1254,LEMPIRA,Madurez Fisiologica,670,7,1.04,Medianamente_resistentes,a realizar
El Paraiso,2/19/2018,Febrero,2018,2,14.26206684,-86.82475281,1441,LEMPIRA,Madurez Fisiologica,784,54,6.89,Medianamente_resistentes,a realizar
Olancho,2/24/2018,Febrero,2018,2,14.2360096,-86.38822174,1220,LEMPIRA,Hojas Nuevas Mayor al 30%,743,0,0,Medianamente_resistentes,a realizar
El Paraiso,6/20/2017,Junio,2017,6,14.26000023,-86.70999908,1172,LEMPIRA,Formacion de Fruto,905,13,1.44,Medianamente_resistentes,a realizar
Francisco Morazan,2/23/2018,Febrero,2018,2,14.36683369,-87.29360199,1329,LEMPIRA,Madurez Fisiologica,860,136,15.81,Medianamente_resistentes,a realizar
Comayagua,6/23/2017,Junio,2017,6,14.45820045,-87.33460236,1218,LEMPIRA,Fruto Consistente,1035,0,0,Medianamente_resistentes,a realizar
Santa Barbara,2/22/2018,Febrero,2018,2,14.52622986,-88.23014069,1228,LEMPIRA,Fin de Cosecha,650,26,4,Medianamente_resistentes,a realizar
Olancho,6/28/2017,Junio,2017,6,14.70201015,-86.50203705,1273,LEMPIRA,Fruto Consistente,1114,15,1.35,Medianamente_resistentes,a realizar
Copan,2/19/2018,Febrero,2018,2,14.38490009,-88.4618988,1350,MEZCLA,Hojas Nuevas Mayor al 30%,513,36,7.02,Medianamente_resistentes,a realizar
El Paraiso,2/20/2018,Febrero,2018,2,14.14999962,-86.59999847,1151,LEMPIRA,Madurez Fisiologica,769,2,0.26,Medianamente_resistentes,a realizar
Copan,8/16/2017,Agosto,2017,8,14.45408154,-88.88308716,1357,CATIMOR,Fruto Consistente,1293,0,0,Medianamente_resistentes,a realizar
El Paraiso,2/20/2018,Febrero,2018,2,13.95619965,-86.89880371,1472,LEMPIRA,Madurez Fisiologica,597,5,0.84,Medianamente_resistentes,a realizar
Comayagua,2/19/2018,Febrero,2018,2,14.31000042,-87.33999634,1300,LEMPIRA,Fin de Cosecha,798,5,0.63,Medianamente_resistentes,a realizar
Comayagua,6/23/2017,Junio,2017,6,14.17924213,-88.23921204,1499,LEMPIRA,Fruto Consistente,829,18,2.17,Medianamente_resistentes,a realizar
Copan,8/15/2017,Agosto,2017,8,14.50980091,-89.145401,1360,LEMPIRA,Fruto Consistente,816,1,0.12,Medianamente_resistentes,a realizar
Comayagua,6/22/2017,Junio,2017,6,14.77890015,-87.4960022,1367,LEMPIRA,Fruto Consistente,751,2,0.27,Medianamente_resistentes,a realizar
Santa Barbara,6/22/2017,Junio,2017,6,15.137784,-88.30120087,1123,LEMPIRA,Formacion de Fruto,926,0,0,Medianamente_resistentes,a realizar
Comayagua,6/19/2017,Junio,2017,6,14.21290112,-87.9890976,1200,MEZCLA,Formacion de Fruto,1060,0,0,Medianamente_resistentes,a realizar
Olancho,2/22/2018,Febrero,2018,2,14.89999962,-85.90000153,1223,LEMPIRA,Floracion Principal,1252,98,7.83,Medianamente_resistentes,a realizar
Copan,8/16/2017,Agosto,2017,8,14.6704998,-88.9537735,1140,LEMPIRA,Madurez Fisiologica,806,0,0,Medianamente_resistentes,a realizar
Francisco Morazan,6/20/2017,Junio,2017,6,13.73398685,-86.91365814,1237,MEZCLA,Fruto Acuoso,830,0,0,Medianamente_resistentes,a realizar
El Paraiso,2/19/2018,Febrero,2018,2,14.00290012,-86.47054291,1179,LEMPIRA,Floracion Loca,496,77,15.52,Medianamente_resistentes,a realizar
Cortes,6/20/2017,Junio,2017,6,15.31000042,-85.44999695,1120,LEMPIRA,Fruto Consistente,1574,5,0.32,Medianamente_resistentes,a realizar
Santa Barbara,2/16/2018,Febrero,2018,2,15,-88.69999695,1178,LEMPIRA,Madurez Fisiologica,755,15,1.99,Medianamente_resistentes,a realizar
Santa Barbara,8/15/2017,Agosto,2017,8,14.83174992,-88.38420105,1464,LEMPIRA,Formacion de Fruto,910,0,0,Medianamente_resistentes,a realizar
El Paraiso,6/21/2017,Junio,2017,6,14.35000038,-86.73000336,1286,LEMPIRA,Formacion de Fruto,875,16,1.83,Medianamente_resistentes,a realizar
Comayagua,8/14/2017,Agosto,2017,8,14.55576992,-87.96607971,1422,LEMPIRA,Fruto Consistente,1940,0,0,Medianamente_resistentes,a realizar
Santa Barbara,2/21/2018,Febrero,2018,2,15.08321953,-88.36325073,1290,PACAMARA,Madurez Fisiologica,1136,77,6.78,Medianamente_resistentes,a realizar
Copan,2/20/2018,Febrero,2018,2,14.50980091,-89.145401,1360,LEMPIRA,Madurez Fisiologica,580,0,0,Medianamente_resistentes,a realizar
Comayagua,6/22/2017,Junio,2017,6,14.58212376,-87.97719574,1262,LEMPIRA,Fruto Consistente,1006,4,0.4,Medianamente_resistentes,a realizar
Olancho,2/22/2018,Febrero,2018,2,15.08693981,-86.73969269,1372,LEMPIRA,Madurez Fisiologica,1042,0,0,Medianamente_resistentes,a realizar
Copan,2/20/2018,Febrero,2018,2,14.39999962,-89,1272,LEMPIRA,Hojas Nuevas Mayor al 30%,1072,0,0,Medianamente_resistentes,a realizar
Comayagua,8/14/2017,Agosto,2017,8,14.27618027,-87.88169098,1230,LEMPIRA,Fruto Consistente,1159,0,0,Medianamente_resistentes,a realizar
El Paraiso,2/22/2018,Febrero,2018,2,13.80049038,-86.4012146,1250,LEMPIRA,Madurez Fisiologica,708,137,19.35,Medianamente_resistentes,a realizar
Copan,2/19/2018,Febrero,2018,2,14.55259991,-88.57369995,1138,LEMPIRA,Madurez Fisiologica,1114,28,2.51,Medianamente_resistentes,a realizar
Comayagua,6/22/2017,Junio,2017,6,14.38000011,-87.31999969,1124,CATIMOR,Fruto Consistente,1070,1,0.09,Medianamente_resistentes,a realizar
Santa Barbara,2/21/2018,Febrero,2018,2,14.80280018,-88.48139954,1201,LEMPIRA,Madurez Fisiologica,665,28,4.21,Medianamente_resistentes,a realizar
El Paraiso,2/22/2018,Febrero,2018,2,13.95059967,-86.23970032,1457,LEMPIRA,Madurez Fisiologica,738,3,0.41,Medianamente_resistentes,a realizar
Francisco Morazan,8/16/2017,Agosto,2017,8,14.37876511,-87.30181885,1274,LEMPIRA,Fruto Acuoso,662,40,6.04,Medianamente_resistentes,a realizar
Olancho,9/23/2017,Septiembre,2017,9,14.70201015,-86.50203705,1273,LEMPIRA,Fruto Consistente,785,39,4.97,Medianamente_resistentes,a realizar
Santa Barbara,2/21/2018,Febrero,2018,2,15.06922531,-88.37147522,1123,LEMPIRA,Madurez Fisiologica,813,8,0.98,Medianamente_resistentes,a realizar
Copan,6/20/2017,Junio,2017,6,14.38490009,-88.4618988,1350,MEZCLA,Fruto Consistente,731,0,0,Medianamente_resistentes,a realizar
El Paraiso,2/19/2018,Febrero,2018,2,14.13000011,-86.76000214,1348,LEMPIRA,Madurez Fisiologica,839,11,1.31,Medianamente_resistentes,a realizar
Olancho,2/24/2018,Febrero,2018,2,14.2360096,-86.38822174,1220,LEMPIRA,Hojas Nuevas Mayor al 30%,732,0,0,Medianamente_resistentes,a realizar
Cortes,2/19/2018,Febrero,2018,2,15.31000042,-85.44999695,1120,LEMPIRA,Madurez Fisiologica,1154,0,0,Medianamente_resistentes,a realizar
Santa Barbara,6/21/2017,Junio,2017,6,15.06922531,-88.37147522,1123,LEMPIRA,Fruto Consistente,680,0,0,Medianamente_resistentes,a realizar
Santa Barbara,6/23/2017,Junio,2017,6,15.12783813,-88.33000946,1170,LEMPIRA,Fruto Consistente,791,0,0,Medianamente_resistentes,a realizar
Comayagua,2/22/2018,Febrero,2018,2,14.26000023,-87.94000244,1205,LEMPIRA,Madurez Fisiologica,725,30,4.14,Medianamente_resistentes,a realizar
Francisco Morazan,2/22/2018,Febrero,2018,2,13.73857594,-86.91262817,1254,LEMPIRA,Madurez Fisiologica,686,114,16.62,Medianamente_resistentes,a realizar
Francisco Morazan,6/22/2017,Junio,2017,6,14.65542126,-86.87128448,1378,LEMPIRA,Fruto Consistente,1177,26,2.21,Medianamente_resistentes,a realizar
Olancho,9/21/2017,Septiembre,2017,9,15.08693981,-86.73969269,1372,LEMPIRA,Fruto Consistente,951,0,0,Medianamente_resistentes,a realizar
Santa Barbara,6/21/2017,Junio,2017,6,14.89505005,-88.53399658,1343,LEMPIRA,Fruto Consistente,627,8,1.28,Medianamente_resistentes,a realizar
Santa Barbara,2/20/2018,Febrero,2018,2,14.78444958,-88.39630127,1333,LEMPIRA,Madurez Fisiologica,541,0,0,Medianamente_resistentes,a realizar
El Paraiso,2/20/2018,Febrero,2018,2,14.35999966,-86.66000366,1151,LEMPIRA,Fruto Consistente,569,22,3.87,Medianamente_resistentes,a realizar
Copan,2/15/2018,Febrero,2018,2,14.45408154,-88.88308716,1357,CATIMOR,Madurez Fisiologica,1153,0,0,Medianamente_resistentes,a realizar
Santa Barbara,2/23/2018,Febrero,2018,2,14.89505005,-88.53399658,1343,LEMPIRA,Hojas Nuevas Mayor al 30%,594,19,3.2,Medianamente_resistentes,a realizar
Comayagua,9/21/2017,Septiembre,2017,9,14.77890015,-87.4960022,1367,LEMPIRA,Fruto Consistente,687,7,1.02,Medianamente_resistentes,a realizar
Comayagua,2/22/2018,Febrero,2018,2,14.34000015,-87.33000183,1129,LEMPIRA,Hojas Nuevas Mayor al 30%,586,30,5.12,Medianamente_resistentes,a realizar
Olancho,2/22/2018,Febrero,2018,2,15.09657955,-86.74520874,1500,LEMPIRA,Madurez Fisiologica,1048,0,0,Medianamente_resistentes,a realizar
Comayagua,8/21/2017,Agosto,2017,8,14.67230034,-87.45410156,1213,LEMPIRA,Fruto Consistente,802,21,2.62,Medianamente_resistentes,a realizar
Comayagua,6/21/2017,Junio,2017,6,14.5273819,-88.21284485,1280,LEMPIRA,Fruto Consistente,896,16,1.79,Medianamente_resistentes,a realizar
Santa Barbara,2/22/2018,Febrero,2018,2,14.53404999,-88.23375702,1106,LEMPIRA,Madurez Fisiologica,681,115,16.89,Medianamente_resistentes,a realizar
Copan,2/19/2018,Febrero,2018,2,14.41807461,-89.00392151,1283,LEMPIRA,Hojas Nuevas Mayor al 30%,1021,0,0,Medianamente_resistentes,a realizar
Francisco Morazan,6/19/2017,Junio,2017,6,14.49351692,-87.42076874,1409,LEMPIRA,Formacion de Fruto,1002,2,0.2,Medianamente_resistentes,a realizar
Olancho,2/21/2018,Febrero,2018,2,14.69392967,-86.49611664,1340,LEMPIRA,Madurez Fisiologica,1010,11,1.09,Medianamente_resistentes,a realizar
El Paraiso,2/20/2018,Febrero,2018,2,13.79911232,-86.5738678,1151,LEMPIRA,Madurez Fisiologica,763,1,0.13,Medianamente_resistentes,a realizar
El Paraiso,2/22/2018,Febrero,2018,2,14.35000038,-86.51999664,1163,LEMPIRA,Fruto Consistente,639,15,2.35,Medianamente_resistentes,a realizar
Santa Barbara,2/19/2018,Febrero,2018,2,15.11993313,-88.31129456,1253,LEMPIRA,Madurez Fisiologica,827,0,0,Medianamente_resistentes,a realizar
Copan,2/23/2018,Febrero,2018,2,14.64457035,-88.96128845,1250,LEMPIRA,Floracion Loca,677,0,0,Medianamente_resistentes,a realizar
Santa Barbara,6/28/2017,Junio,2017,6,14.89999962,-88.40000153,1188,BOURBON,Fruto Consistente,727,79,10.87,Medianamente_resistentes,a realizar
Comayagua,2/19/2018,Febrero,2018,2,14.47999954,-88.26999664,1331,LEMPIRA,Madurez Fisiologica,1120,85,7.59,Medianamente_resistentes,a realizar
El Paraiso,2/19/2018,Febrero,2018,2,14.19594574,-86.52872467,1393,LEMPIRA,Madurez Fisiologica,503,97,19.28,Medianamente_resistentes,a realizar
Cortes,2/23/2018,Febrero,2018,2,15.30000019,-87.09999847,1195,LEMPIRA,Madurez Fisiologica,955,49,5.13,Medianamente_resistentes,a realizar
Francisco Morazan,2/23/2018,Febrero,2018,2,14.3968277,-87.32039642,1336,LEMPIRA,Madurez Fisiologica,707,134,18.95,Medianamente_resistentes,a realizar
Comayagua,2/23/2018,Febrero,2018,2,14.34000015,-87.29000092,1172,LEMPIRA,Madurez Fisiologica,705,148,20.99,Medianamente_resistentes,a realizar
Copan,2/19/2018,Febrero,2018,2,14.5,-88.44000244,1205,LEMPIRA,Hojas Nuevas Mayor al 30%,1216,3,0.25,Medianamente_resistentes,a realizar
Olancho,6/22/2017,Junio,2017,6,14.60610962,-86.75526428,1192,LEMPIRA,Fruto Consistente,1127,1,0.09,Medianamente_resistentes,a realizar
Francisco Morazan,2/21/2018,Febrero,2018,2,14.45970058,-87.40989685,1407,MEZCLA,Floracion Loca,927,46,4.96,Medianamente_resistentes,a realizar
El Paraiso,2/19/2018,Febrero,2018,2,14.14000034,-86.75,1240,LEMPIRA,Madurez Fisiologica,676,20,2.96,Medianamente_resistentes,a realizar
Olancho,2/22/2018,Febrero,2018,2,14.98653412,-86.34893036,1300,LEMPIRA,Madurez Fisiologica,1031,5,0.49,Medianamente_resistentes,a realizar
Comayagua,6/22/2017,Junio,2017,6,14.26000023,-87.94000244,1331,LEMPIRA,Fruto Consistente,890,0,0,Medianamente_resistentes,a realizar
Olancho,2/24/2018,Febrero,2018,2,14.2360096,-86.38822174,1220,LEMPIRA,Hojas Nuevas Mayor al 30%,682,4,0.59,Medianamente_resistentes,a realizar
Olancho,2/21/2018,Febrero,2018,2,14.6991396,-86.50113678,1296,LEMPIRA,Madurez Fisiologica,616,28,4.55,Medianamente_resistentes,a realizar
Cortes,2/21/2018,Febrero,2018,2,15.42000008,-86.23000336,1168,LEMPIRA,Madurez Fisiologica,1364,1,0.07,Medianamente_resistentes,a realizar
Francisco Morazan,2/22/2018,Febrero,2018,2,13.73398685,-86.91365814,1237,MEZCLA,Madurez Fisiologica,874,24,2.75,Medianamente_resistentes,a realizar
Comayagua,6/20/2017,Junio,2017,6,14.26895618,-87.84754944,1300,LEMPIRA,Formacion de Fruto,1122,0,0,Medianamente_resistentes,a realizar
Comayagua,2/21/2018,Febrero,2018,2,14.49409962,-87.3309021,1335,LEMPIRA,Madurez Fisiologica,837,5,0.6,Medianamente_resistentes,a realizar
Santa Barbara,6/23/2017,Junio,2017,6,15.1163578,-88.32566833,1165,CATIMOR,Fruto Consistente,834,0,0,Medianamente_resistentes,a realizar
Comayagua,2/19/2018,Febrero,2018,2,14.25107574,-87.89496613,1403,LEMPIRA,Floracion,1096,0,0,Medianamente_resistentes,a realizar
El Paraiso,6/19/2017,Junio,2017,6,14.32999992,-86.66999817,1218,LEMPIRA,Formacion de Fruto,808,17,2.1,Medianamente_resistentes,a realizar
Copan,2/20/2018,Febrero,2018,2,14.18719959,-88.51950073,1284,MEZCLA,Hojas Nuevas Mayor al 30%,423,0,0,Medianamente_resistentes,a realizar
Comayagua,8/17/2017,Agosto,2017,8,14.4435997,-87.33159637,1327,LEMPIRA,Fruto Consistente,893,53,5.94,Medianamente_resistentes,a realizar
Copan,2/20/2018,Febrero,2018,2,14.61999989,-88.41999817,1247,LEMPIRA,Madurez Fisiologica,1150,2,0.17,Medianamente_resistentes,a realizar
Copan,2/16/2018,Febrero,2018,2,14.51509953,-88.58170319,1143,LEMPIRA,Madurez Fisiologica,1014,15,1.48,Medianamente_resistentes,a realizar
El Paraiso,2/20/2018,Febrero,2018,2,14.21395969,-86.38677979,1216,LEMPIRA,Floracion Loca,654,11,1.68,Medianamente_resistentes,a realizar
El Paraiso,6/21/2017,Junio,2017,6,14.02694988,-85.985672,1120,LEMPIRA,Fruto Consistente,1222,14,1.15,Medianamente_resistentes,a realizar
Comayagua,6/23/2017,Junio,2017,6,14.19124508,-88.24049377,1429,LEMPIRA,Fruto Consistente,889,15,1.69,Medianamente_resistentes,a realizar
Olancho,6/21/2017,Junio,2017,6,14.98880005,-86.37689972,1200,LEMPIRA,Formacion de Fruto,1292,22,1.7,Medianamente_resistentes,a realizar
Santa Barbara,2/21/2018,Febrero,2018,2,14.74977779,-88.33052826,1175,LEMPIRA,Fin de Cosecha,757,12,1.59,Medianamente_resistentes,a realizar
Olancho,8/17/2017,Agosto,2017,8,14.98880005,-86.37689972,1200,LEMPIRA,Fruto Consistente,1006,57,5.67,Medianamente_resistentes,a realizar
Comayagua,6/21/2017,Junio,2017,6,14.12229347,-88.01078033,1459,MEZCLA,Formacion de Fruto,1132,13,1.15,Medianamente_resistentes,a realizar
El Paraiso,2/21/2018,Febrero,2018,2,14.26000023,-86.77999878,1333,LEMPIRA,Fruto Consistente,627,41,6.54,Medianamente_resistentes,a realizar
El Paraiso,8/16/2017,Agosto,2017,8,14.26206684,-86.82475281,1441,LEMPIRA,Fruto Consistente,731,18,2.46,Medianamente_resistentes,a realizar
Copan,2/27/2018,Febrero,2018,2,14.88611889,-88.54954529,1125,LEMPIRA,Hojas Nuevas Mayor al 30%,902,0,0,Medianamente_resistentes,a realizar
Cortes,8/15/2017,Agosto,2017,8,15.09910011,-87.3411026,1178,LEMPIRA,Formacion de Fruto,935,24,2.57,Medianamente_resistentes,a realizar
Comayagua,6/22/2017,Junio,2017,6,14.26000023,-87.94000244,1205,LEMPIRA,Fruto Consistente,944,2,0.21,Medianamente_resistentes,a realizar
Francisco Morazan,6/21/2017,Junio,2017,6,14.45970058,-87.40989685,1407,MEZCLA,Fruto Consistente,796,0,0,Medianamente_resistentes,a realizar
El Paraiso,2/23/2018,Febrero,2018,2,13.84145164,-86.84843445,1470,LEMPIRA,Madurez Fisiologica,764,7,0.92,Medianamente_resistentes,a realizar
Comayagua,2/20/2018,Febrero,2018,2,14.21290112,-87.9890976,1200,MEZCLA,Hojas Nuevas Mayor al 30%,1197,20,1.67,Medianamente_resistentes,a realizar
El Paraiso,2/21/2018,Febrero,2018,2,13.80000019,-86.59999847,1162,LEMPIRA,Madurez Fisiologica,656,48,7.32,Medianamente_resistentes,a realizar
Santa Barbara,2/22/2018,Febrero,2018,2,14.83601093,-88.35218048,1181,LEMPIRA,Fin de Cosecha,851,0,0,Medianamente_resistentes,a realizar
Francisco Morazan,2/19/2018,Febrero,2018,2,14.56127357,-87.2227478,1264,MEZCLA,Madurez Fisiologica,807,182,22.55,Medianamente_resistentes,a realizar
Santa Barbara,2/20/2018,Febrero,2018,2,15.12713623,-88.3302536,1124,LEMPIRA,Madurez Fisiologica,793,1,0.13,Medianamente_resistentes,a realizar
El Paraiso,2/19/2018,Febrero,2018,2,14.15290356,-86.80738068,1258,LEMPIRA,Madurez Fisiologica,821,4,0.49,Medianamente_resistentes,a realizar
Santa Barbara,2/21/2018,Febrero,2018,2,15.10178185,-88.36593628,1160,MEZCLA,Hojas Nuevas Mayor al 30%,720,0,0,Medianamente_resistentes,a realizar
Santa Barbara,2/20/2018,Febrero,2018,2,14.42920971,-88.19854736,1400,LEMPIRA,Floracion Loca,946,0,0,Medianamente_resistentes,a realizar
Olancho,2/22/2018,Febrero,2018,2,14.89999962,-85.90000153,1247,MEZCLA,Floracion Principal,1196,37,3.09,Medianamente_resistentes,a realizar
Comayagua,2/22/2018,Febrero,2018,2,14.44970036,-87.32959747,1296,LEMPIRA,Madurez Fisiologica,570,0,0,Medianamente_resistentes,a realizar
El Paraiso,2/22/2018,Febrero,2018,2,14.35999966,-86.51999664,1180,LEMPIRA,Fruto Consistente,503,15,2.98,Medianamente_resistentes,a realizar
Francisco Morazan,6/20/2017,Junio,2017,6,14.3968277,-87.32039642,1336,LEMPIRA,Formacion de Fruto,834,89,10.67,Medianamente_resistentes,a realizar
El Paraiso,2/22/2018,Febrero,2018,2,14.26000023,-86.70999908,1172,LEMPIRA,Fruto Consistente,481,16,3.33,Medianamente_resistentes,a realizar
Olancho,2/21/2018,Febrero,2018,2,14.70285034,-86.49786377,1327,LEMPIRA,Madurez Fisiologica,956,30,3.14,Medianamente_resistentes,a realizar
Comayagua,2/19/2018,Febrero,2018,2,14.5273819,-88.21284485,1280,LEMPIRA,Madurez Fisiologica,640,20,3.12,Medianamente_resistentes,a realizar
Comayagua,2/21/2018,Febrero,2018,2,14.19387817,-88.24959564,1288,LEMPIRA,Hojas Nuevas Mayor al 30%,768,24,3.12,Medianamente_resistentes,a realizar
Comayagua,2/19/2018,Febrero,2018,2,14.31000042,-87.33999634,1234,LEMPIRA,Fin de Cosecha,870,27,3.1,Medianamente_resistentes,a realizar
Santa Barbara,2/21/2018,Febrero,2018,2,15.13862705,-88.30130768,1167,LEMPIRA,Madurez Fisiologica,958,24,2.51,Medianamente_resistentes,a realizar
Santa Barbara,8/15/2017,Agosto,2017,8,15.12095165,-88.3518219,1163,MEZCLA,Fruto Consistente,823,66,8.02,Medianamente_resistentes,a realizar
Comayagua,2/22/2018,Febrero,2018,2,14.5,-87.5,1424,LEMPIRA,Madurez Fisiologica,655,15,2.29,Medianamente_resistentes,a realizar
Cortes,6/20/2017,Junio,2017,6,15.25436401,-87.09559631,1170,LEMPIRA,Fruto Consistente,1589,7,0.44,Medianamente_resistentes,a realizar
Santa Barbara,8/16/2017,Agosto,2017,8,15.06705284,-88.37181091,1170,LEMPIRA,Fruto Consistente,760,2,0.26,Medianamente_resistentes,a realizar
Francisco Morazan,2/19/2018,Febrero,2018,2,14.55401516,-87.24476624,1407,MEZCLA,Madurez Fisiologica,674,152,22.55,Medianamente_resistentes,a realizar
Santa Barbara,2/22/2018,Febrero,2018,2,14.78190041,-88.38559723,1416,LEMPIRA,Madurez Fisiologica,569,0,0,Medianamente_resistentes,a realizar
Cortes,2/19/2018,Febrero,2018,2,15.31000042,-85.44999695,1180,LEMPIRA,Madurez Fisiologica,1239,2,0.16,Medianamente_resistentes,a realizar
Comayagua,2/20/2018,Febrero,2018,2,14.71316338,-87.78985596,1105,LEMPIRA,Madurez Fisiologica,885,25,2.82,Medianamente_resistentes,a realizar
Santa Barbara,2/20/2018,Febrero,2018,2,14.78145027,-88.39644623,1300,LEMPIRA,Madurez Fisiologica,613,1,0.16,Medianamente_resistentes,a realizar
El Paraiso,6/21/2017,Junio,2017,6,13.80090046,-86.57160187,1251,MEZCLA,Fruto Consistente,1577,20,1.27,Medianamente_resistentes,a realizar
Olancho,2/22/2018,Febrero,2018,2,14.99870968,-86.28794861,1350,LEMPIRA,Madurez Fisiologica,1162,8,0.69,Medianamente_resistentes,a realizar
Santa Barbara,2/20/2018,Febrero,2018,2,15.1163578,-88.32566833,1165,CATIMOR,Madurez Fisiologica,772,0,0,Medianamente_resistentes,a realizar
Comayagua,6/20/2017,Junio,2017,6,14.8784399,-87.57614136,1106,LEMPIRA,Fruto Consistente,1140,14,1.23,Medianamente_resistentes,a realizar
Cortes,6/29/2017,Junio,2017,6,15.08273029,-87.275383,1363,LEMPIRA,Fruto Consistente,1110,1,0.09,Medianamente_resistentes,a realizar
Comayagua,2/22/2018,Febrero,2018,2,14.44229984,-87.32360077,1293,LEMPIRA,Madurez Fisiologica,462,26,5.63,Medianamente_resistentes,a realizar
